"id_loc","street","neigh","city","state","gaddress","glat","glng","gbnelat","gbnelng","gbswlat","gbswlng","visited"
7489,"RUA CARLOS OSWALD","BARRA DA TIJUCA","RIO DE JANEIRO","RJ","Rua Carlos Oswald - Barra da Tijuca, Rio de Janeiro, Brazil",-22.9994,-43.3749,-22.9997,-43.3785,-22.9996,-43.3768,"2013-08-17 15:35:36"
7490,"RUA CARLOS PALUT","TAQUARA","RIO DE JANEIRO","RJ","Rua Carlos Palut - Taquara, Rio de Janeiro, 22710-310, Brazil",-22.9328,-43.3659,-22.935,-43.3718,-22.9339,-43.3688,"2013-08-17 15:35:37"
7491,"RUA CARLOS SAMPAIO","CENTRO","RIO DE JANEIRO","RJ","Rua Carlos Sampaio - Centro, Rio de Janeiro, Brazil",-22.9103,-43.1882,-22.9138,-43.1884,-22.9122,-43.1883,"2013-08-17 15:35:37"
7492,"RUA CARLOS XAVIER","CAMPINHO","RIO DE JANEIRO","RJ","Rua Carlos Xavier - Oswaldo Cruz, Rio de Janeiro, 21310-000, Brazil",-22.8735,-43.3464,-22.8819,-43.3503,-22.8777,-43.348,"2013-08-17 15:35:38"
7493,"RUA CARLOTA MACEDO SOARES","RECREIO DOS BANDEIRANTES","RIO DE JANEIRO","RJ","Rua Carlota Macedo Soares - Recreio dos Bandeirantes, Rio de Janeiro, 22795-070, Brazil",-23.0228,-43.4574,-23.0249,-43.4583,-23.0236,-43.458,"2013-08-17 15:35:38"
7494,"RUA CARMELA DUTRA","TIJUCA","RIO DE JANEIRO","RJ","Rua Carmela Dutra - Tijuca, Rio de Janeiro, Brazil",-22.9209,-43.2265,-22.9248,-43.2269,-22.9228,-43.2266,"2013-08-17 15:35:39"
7495,"RUA CAROLINA SANTOS","MEIER","RIO DE JANEIRO","RJ","Rua Carolina Santos - Méier, Rio de Janeiro, 20720-310, Brazil",-22.9043,-43.2831,-22.9089,-43.2867,-22.9068,-43.285,"2013-08-17 15:35:39"
7496,"RUA CARUARU","GRAJAU","RIO DE JANEIRO","RJ","Rua Caruaru - Grajaú, Rio de Janeiro, 20560-215, Brazil",-22.9189,-43.2627,-22.9211,-43.2691,-22.92,-43.2657,"2013-08-17 15:35:40"
7497,"RUA CARVALHO ALVIM","TIJUCA","RIO DE JANEIRO","RJ","Rua Carvalho Alvim - Tijuca, Rio de Janeiro, 20510-100, Brazil",-22.9261,-43.2402,-22.9275,-43.2449,-22.9264,-43.2426,"2013-08-17 15:35:40"
7498,"RUA CARVALHO AZEVEDO","LAGOA","RIO DE JANEIRO","RJ","Rua Carvalho Azevedo - Lagoa, Rio de Janeiro, 22471-220, Brazil",-22.963,-43.2014,-22.9643,-43.2037,-22.9641,-43.2027,"2013-08-17 15:35:41"
7499,"RUA CARVALHO DE MENDONCA","COPACABANA","RIO DE JANEIRO","RJ","Rua Carvalho de Mendonça - Copacabana, Rio de Janeiro, 22020-050, Brazil",-22.9652,-43.1781,-22.9657,-43.1791,-22.9657,-43.1791,"2013-08-17 15:35:41"
7500,"RUA CASCATA,DA","MUDA","RIO DE JANEIRO","RJ","Rua da Cascata - Tijuca, Rio de Janeiro, 20530-080, Brazil",-22.9382,-43.2414,-22.944,-43.2469,-22.9415,-43.245,"2013-08-17 15:35:42"
7501,"RUA CASCATA,DA","TIJUCA","RIO DE JANEIRO","RJ","Rua da Cascata - Tijuca, Rio de Janeiro, 20530-080, Brazil",-22.9382,-43.2414,-22.944,-43.2469,-22.9415,-43.245,"2013-08-17 15:35:42"
7502,"RUA CASCATA,DA","USINA","RIO DE JANEIRO","RJ","Rio de Janeiro, Brazil",-22.749,-43.0994,-23.083,-43.7954,-22.9035,-43.2096,"2013-08-17 15:35:43"
7503,"RUA CASIMIRO DE ABREU","PILARES","RIO DE JANEIRO","RJ","Rua Casimiro de Abreu - Pilares, Rio de Janeiro, 20750-070, Brazil",-22.8795,-43.2948,-22.8821,-43.2997,-22.8807,-43.2969,"2013-08-17 15:35:44"
7504,"RUA CASTORINA FARIA LIMA","PORTUGUESA","RIO DE JANEIRO","RJ","Rua Castorina Faria Lima - Portuguesa, Rio de Janeiro, 21931-574, Brazil",-22.7965,-43.2055,-22.8015,-43.2067,-22.7991,-43.2061,"2013-08-17 15:35:44"
7505,"RUA CASTORINO FRANCISCO NUNES","PRAIA DA BANDEIRA","RIO DE JANEIRO","RJ","Rua Castorino Francisco Nunes - Praia da Bandeira, Rio de Janeiro, 21921-544, Brazil",-22.8122,-43.1772,-22.8129,-43.1812,-22.8128,-43.1797,"2013-08-17 15:35:45"
7506,"RUA CASTRO ALVES","MEIER","RIO DE JANEIRO","RJ","Rua Castro Alves - Méier, Rio de Janeiro, 20775-040, Brazil",-22.8959,-43.2755,-22.9001,-43.2808,-22.8976,-43.2787,"2013-08-17 15:35:45"
